City,State,Population Growth Rate,Number of Burgalaries reported,Property Crime Rate,Housing Construction,Mass Markets2,Diverse Workers2,Well-heeled Affluents2
Carver,Massachusetts,0,0,0,0.0001,0.0001,0.000007,0
Cary,Illinois,0,0,0,0,0.0001,0.000007,0
Casa Grande,Arizona,0.0001,0,0,0,0.0003,0.000071,0.000047
Cascade,Idaho,0.0002,0,0,-0.0001,0.0001,0.000002,0.000001
Caseville,Michigan,0,0,0,0,0,0.000001,0.000004
Caseyville,Illinois,0.0001,0,0,0,0.0002,0.000018,0.000011
Cass City,Michigan,0,0,0,0,0,0.000014,0.000017
Casselberry,Florida,0.0001,0,0,0.0001,0.0004,0.000093,0.000028
Cassopolis,Michigan,0,0,0,-0.0001,-0.0001,0.000014,0.00001
Cassville,Missouri,0,0,0,0,0,0.000011,0.000009
Cathedral City,California,0,0,0,0,0.0002,0.000084,0.000052
Catlettsburg,Kentucky,0,0,0,-0.0001,0,0.000028,0.000025
Catlin,Illinois,0,0,0,0.0001,0.0001,0.000004,0.000002
Cave City,Kentucky,0.0002,0,0,0.0001,0.0004,0.000007,0.000016
Cave City,Arkansas,0.0001,0,0,0.0001,0.0002,0.000004,0.000018
Cave Springs,Arkansas,0.0001,0,0,0.0001,0.0003,0.000001,0
Cedar Bluff,Alabama,0,0,0,0,0,0.000004,0.000019
Cedar Falls,Iowa,0,0,0,0,0.0002,0.000075,0.000029
Cedar Key,Florida,-0.0004,0,0,0,-0.0004,0.000002,0.000002
Cedar Lake,Indiana,0,0,0,-0.0001,0,0.000037,0.000007
Cedar Rapids,Iowa,0,0,0.0001,0,0.0009,0.000352,0.000241
Center,Missouri,0.0003,0,0,-0.0001,0.0002,0.000001,0.000004
Center,Colorado,0.0001,0,0,0,0.0001,0.000001,0.000021
Center Harbor,New Hampshire,0.0001,0,0,0.0001,0.0002,0,0
Center Hill,Florida,0.0001,0,0,0.0001,0.0002,0,0.000004
Center Line,Michigan,0,0,0,0,0,0.000016,0.000021
Centerton,Arkansas,0.0001,0,0,-0.0001,0.0001,0.000012,0
Centertown,Kentucky,0,0,0,0,0.0001,0.000003,0.000003
Centerville,Iowa,0,0,0,0.0001,0.0001,0.000007,0.000034
Central City,Nebraska,-0.0001,0,0,0,0,0.000009,0.000005
Central City,Kentucky,-0.0001,0,0,-0.0001,-0.0001,0.000018,0.000029
Central Lake,Michigan,0,0,0,0,0,0.000005,0.000004
Centralia,Missouri,0,0,0,0.0001,0.0002,0.000007,0.000014
Centralia,Illinois,0,0,0,0,0.0001,0.000008,0.000068
Centre,Alabama,0,0,0,0,0,0.000013,0.000027
Centreville,Maryland,0.0001,0,0,0,0.0001,0.000005,0.000003
Ceres,California,0,0,0,0,0.0001,0.000098,0.000021
Cerritos,California,0,0,0,0.0001,0.0005,0.000019,0
Chadron,Nebraska,0,0,0,0,0.0001,0.000003,0.000012
Chaffee,Missouri,-0.0003,0,0,-0.0001,-0.0004,0.000008,0.00002
Challis,Idaho,-0.0002,0,0,-0.0003,-0.0004,0,0.000001
Champaign,Illinois,0,0.0001,0,0,0.0005,0.000063,0.000104
Champlin,Minnesota,0,0,0,0,0,0.000005,0
Chandler,Arizona,0.0001,0.0001,0.0001,0,0.0009,0.000321,0.000217
Channahon,Illinois,0,0,0,0,0,0.000017,0
Chariton,Iowa,-0.0001,0,0,0,-0.0001,0.000013,0.000016
Charles City,Iowa,0.0001,0,0,0.0001,0.0002,0.000011,0.000036
Charleston,Arkansas,0.0002,0,0,0.0002,0.0005,0.000009,0.000016
Charleston,Missouri,0.0001,0,0,0,0.0001,0.000002,0.000023
Charleston,Illinois,0,0,0,0,0.0001,0.000027,0.000031
Charlestown,Indiana,0,0,0,0,0.0001,0.000029,0.000037
Charlestown,New Hampshire,0,0,0,-0.0001,0,0.000008,0.000003
Charlevoix,Michigan,-0.0001,0,0,0,0,0.000011,0.000011
Charlotte,Michigan,0,0,0,0.0001,0.0002,0.000042,0.000029
Charlton,Massachusetts,0,0,0,0,0,0.000004,0
Chaska,Minnesota,0,0,0,0.0001,0.0002,0.000033,0.000011
Chatham,New Jersey,0,0,0,0,0.0003,0,0
Chatham,Illinois,0,0,0,0.0001,0.0001,0.00003,0.000002
Chatham,Massachusetts,0,0,0,-0.0002,-0.0002,0.000002,0
Chattahoochee,Florida,-0.0001,0,0,-0.0001,-0.0001,0.000001,0.000015
Cheboygan,Michigan,0,0,0,0,0,0.000024,0.000017
Chelmsford,Massachusetts,0.0001,0,0,0.0001,0.0004,0.000003,0
Chelsea,Massachusetts,0.0001,0,0,0.0001,0.0003,0.000099,0.000028
Chelsea,Michigan,0,0,0,0.0001,0.0002,0.000008,0.000007
Cheney,Kansas,-0.0001,0,0,-0.0001,-0.0002,0.000011,0.000002
Chenoa,Illinois,-0.0001,0,0,0,-0.0001,0.000011,0.000001
Cherokee,Iowa,0,0,0,0.0001,0.0001,0.000012,0.000005
Cherokee,Alabama,0,0,0,0,0,0.000003,0.000015
Cherokee Village,Arkansas,-0.0001,0,0,0,-0.0001,0.000003,0.000018
Cherryville,North Carolina,0.0002,0,0,0.0002,0.0004,0.000029,0.000026
Chesaning,Michigan,0,0,0,0,0.0001,0.000011,0.000014
Cheshire,Connecticut,0,0,0,0,0.0001,0,0
Chester,New Jersey,0,0,0,0,0.0002,0,0
Chester,Illinois,0,0,0,0,0,0.000013,0.000011
Chester,New Hampshire,0,0,0,0,0,0,0
Chesterfield,Missouri,0,0,0,0,0.0005,0.000018,0
Chestertown,Maryland,0,0,0,-0.0001,0,0.000022,0.000024
Chicago,Illinois,0,0.0023,0.0016,0,0.0149,0.003933,0.005667
Chicago Heights,Illinois,0,0,0,0.0001,0.0003,0.000108,0.000087
Chicago Ridge,Illinois,0,0,0,-0.0001,-0.0001,0.000039,0.000005
Chico,California,0,0,0.0001,0,0.0004,0.000088,0.000119
Chicopee,Massachusetts,0,0,0,0,0.0002,0.000038,0.00013
Chiefland,Florida,0,0,0,0,0,0.000008,0.000021
